id,name,address,prefecture,city,ageRange,programs,features,description,createdAt,updatedAt,labels
30,ユニバースホーム,東京都豊島区豊島30-30-30,東京都,豊島区,65歳以上,ショートステイ,駐車場あり,宇宙のような生活を提供します。,2023-01-30T00:00:00Z,2023-01-30T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
31,コスモケア,東京都中野区中野31-31-31,東京都,中野区,18歳以上,デイサービス,送迎あり,コスモのような生活をサポートします。,2023-01-31T00:00:00Z,2023-01-31T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
32,アストロホーム,東京都杉並区杉並32-32-32,東京都,杉並区,65歳以上,ショートステイ,駐車場あり,アストロのような生活を提供します。,2023-02-01T00:00:00Z,2023-02-01T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
33,ネブラケア,東京都豊島区豊島33-33-33,東京都,豊島区,18歳以上,デイサービス,送迎あり,ネブラのような生活をサポートします。,2023-02-02T00:00:00Z,2023-02-02T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
34,コメットホーム,東京都中野区中野34-34-34,東京都,中野区,65歳以上,ショートステイ,駐車場あり,コメットのような生活を提供します。,2023-02-03T00:00:00Z,2023-02-03T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
35,メテオケア,東京都杉並区杉並35-35-35,東京都,杉並区,18歳以上,デイサービス,送迎あり,メテオのような生活をサポートします。,2023-02-04T00:00:00Z,2023-02-04T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
36,アステロイドホーム,東京都豊島区豊島36-36-36,東京都,豊島区,65歳以上,ショートステイ,駐車場あり,アステロイドのような生活を提供します。,2023-02-05T00:00:00Z,2023-02-05T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
37,オービットケア,東京都中野区中野37-37-37,東京都,中野区,18歳以上,デイサービス,送迎あり,オービットのような生活をサポートします。,2023-02-06T00:00:00Z,2023-02-06T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
38,サテライトホーム,東京都杉並区杉並38-38-38,東京都,杉並区,65歳以上,ショートステイ,駐車場あり,サテライトのような生活を提供します。,2023-02-07T00:00:00Z,2023-02-07T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
39,ロケットケア,東京都豊島区豊島39-39-39,東京都,豊島区,18歳以上,デイサービス,送迎あり,ロケットのような生活をサポートします。,2023-02-08T00:00:00Z,2023-02-08T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
40,スペースホーム,東京都中野区中野40-40-40,東京都,中野区,65歳以上,ショートステイ,駐車場あり,スペースのような生活を提供します。,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
41,アポロケア,東京都杉並区杉並41-41-41,東京都,杉並区,18歳以上,デイサービス,送迎あり,アポロのような生活をサポートします。,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
42,マーズホーム,東京都豊島区豊島42-42-42,東京都,豊島区,65歳以上,ショートステイ,駐車場あり,マーズのような生活を提供します。,2023-02-11T00:00:00Z,2023-02-11T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
43,ジュピターケア,東京都中野区中野43-43-43,東京都,中野区,18歳以上,デイサービス,送迎あり,ジュピターのような生活をサポートします。,2023-02-12T00:00:00Z,2023-02-12T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
44,サターンホーム,東京都杉並区杉並44-44-44,東京都,杉並区,65歳以上,ショートステイ,駐車場あり,サターンのような生活を提供します。,2023-02-13T00:00:00Z,2023-02-13T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
45,ウラヌスケア,東京都豊島区豊島45-45-45,東京都,豊島区,18歳以上,デイサービス,送迎あり,ウラヌスのような生活をサポートします。,2023-02-14T00:00:00Z,2023-02-14T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
46,ネプチュンホーム,東京都中野区中野46-46-46,東京都,中野区,65歳以上,ショートステイ,駐車場あり,ネプチュンのような生活を提供します。,2023-02-15T00:00:00Z,2023-02-15T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
47,プルートケア,東京都杉並区杉並47-47-47,東京都,杉並区,18歳以上,デイサービス,送迎あり,プルートのような生活をサポートします。,2023-02-16T00:00:00Z,2023-02-16T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
48,マーキュリーホーム,東京都豊島区豊島48-48-48,東京都,豊島区,65歳以上,ショートステイ,駐車場あり,マーキュリーのような生活を提供します。,2023-02-17T00:00:00Z,2023-02-17T00:00:00Z,"{""dayService"":false,""noExperience"":true}"
49,ビーナスケア,東京都中野区中野49-49-49,東京都,中野区,18歳以上,デイサービス,送迎あり,ビーナスのような生活をサポートします。,2023-02-18T00:00:00Z,2023-02-18T00:00:00Z,"{""dayService"":true,""noExperience"":false}"
50,アースホーム,東京都杉並区杉並50-50-50,東京都,杉並区,65歳以上,ショートステイ,駐車場あり,アースのような生活を提供します。,2023-02-19T00:00:00Z,2023-02-19T00:00:00Z,"{""dayService"":false,""noExperience"":true}" 
